current_state,region,division,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,from_region,from_division,number_of_people
Alabama,South,East South Central,2010,4729509,3987155,620465,108723,13166,Alabama,South,East South Central,0
Alaska,West,Pacific,2010,702974,565031,95878,36326,5739,Alabama,South,East South Central,477
Arizona,West,Mountain,2010,6332786,5069002,1001991,222725,39068,Alabama,South,East South Central,416
Arkansas,South,West South Central,2010,2888304,2387806,412997,79127,8374,Alabama,South,East South Central,1405
California,West,Pacific,2010,36907897,30790221,5413287,444749,259640,Alabama,South,East South Central,3364
Colorado,West,Mountain,2010,4988190,4042039,725413,186366,34372,Alabama,South,East South Central,954
Connecticut,Northeast,New England,2010,3541146,3100742,342904,77333,20167,Alabama,South,East South Central,896
Delaware,South,South Atlantic,2010,889812,764640,90001,30759,4412,Alabama,South,East South Central,128
District of Columbia,South,South Atlantic,2010,596747,474676,63766,51244,7061,Alabama,South,East South Central,360
Florida,South,South Atlantic,2010,18647600,15554008,2459530,482889,151173,Alabama,South,East South Central,15830
Georgia,South,South Atlantic,2010,9587237,8015409,1278548,249459,43821,Alabama,South,East South Central,13840
Hawaii,West,Pacific,2010,1346274,1140572,134315,53581,17806,Alabama,South,East South Central,749
Idaho,West,Mountain,2010,1550967,1279856,209272,55638,6201,Alabama,South,East South Central,376
Illinois,Midwest,East North Central,2010,12680126,11009852,1404525,203959,61790,Alabama,South,East South Central,1397
Indiana,Midwest,East North Central,2010,6414862,5431015,833086,127353,23408,Alabama,South,East South Central,1502
Iowa,Midwest,West North Central,2010,3013053,2553210,375650,72557,11636,Alabama,South,East South Central,330
Kansas,Midwest,West North Central,2010,2820894,2341401,372161,95059,12273,Alabama,South,East South Central,44
Kentucky,South,East South Central,2010,4296639,3638259,519887,118443,20050,Alabama,South,East South Central,2161
Louisiana,South,West South Central,2010,4483529,3826390,547291,97889,11959,Alabama,South,East South Central,5740
Maine,Northeast,New England,2010,1313902,1136780,146735,27758,2629,Alabama,South,East South Central,402
Maryland,South,South Atlantic,2010,5716785,4917637,588879,164484,45785,Alabama,South,East South Central,1641
Massachusetts,Northeast,New England,2010,6489250,5583650,706624,140162,58814,Alabama,South,East South Central,583
Michigan,Midwest,East North Central,2010,9762127,8310098,1291901,116149,43979,Alabama,South,East South Central,2403
Minnesota,Midwest,West North Central,2010,5244256,4480630,647946,89872,25808,Alabama,South,East South Central,266
Mississippi,South,East South Central,2010,2931228,2510729,340266,72321,7912,Alabama,South,East South Central,8306
Missouri,Midwest,West North Central,2010,5920858,4968921,786726,145226,19985,Alabama,South,East South Central,819
Montana,West,Mountain,2010,978507,821709,117752,35630,3416,Alabama,South,East South Central,212
Nebraska,Midwest,West North Central,2010,1802697,1497138,247005,51290,7264,Alabama,South,East South Central,232
Nevada,West,Mountain,2010,2667364,2030410,517261,102677,17016,Alabama,South,East South Central,150
New Hampshire,Northeast,New England,2010,1303865,1118359,141213,39367,4926,Alabama,South,East South Central,152
New Jersey,Northeast,Middle Atlantic,2010,8709933,7841470,684482,127369,56612,Alabama,South,East South Central,616
New Mexico,West,Mountain,2010,2039549,1735950,220663,73605,9331,Alabama,South,East South Central,751
New York,Northeast,Middle Atlantic,2010,19171916,16976205,1779540,269427,146744,Alabama,South,East South Central,1310
North Carolina,South,South Atlantic,2010,9443000,7982017,1141001,263256,56726,Alabama,South,East South Central,3044
North Dakota,Midwest,West North Central,2010,665654,556222,75720,30100,3612,Alabama,South,East South Central,109
Ohio,Midwest,East North Central,2010,11405101,9745227,1453401,172633,33840,Alabama,South,East South Central,1289
Oklahoma,South,West South Central,2010,3716264,3065497,528824,106511,15432,Alabama,South,East South Central,1612
Oregon,West,Pacific,2010,3794008,3110896,545841,116700,20571,Alabama,South,East South Central,400
Pennsylvania,Northeast,Middle Atlantic,2010,12577555,11053022,1239199,235580,49754,Alabama,South,East South Central,369
Rhode Island,Northeast,New England,2010,1042240,900283,99603,32059,10295,Alabama,South,East South Central,136
South Carolina,South,South Atlantic,2010,4577399,3870879,537961,152441,16118,Alabama,South,East South Central,1741
South Dakota,Midwest,West North Central,2010,805616,680993,96805,25777,2041,Alabama,South,East South Central,325
Tennessee,South,East South Central,2010,6282706,5299496,801355,159778,22077,Alabama,South,East South Central,8897
Texas,South,West South Central,2010,24899075,20500156,3740344,486558,172017,Alabama,South,East South Central,8636
Utah,West,Mountain,2010,2724064,2240636,388410,77780,17238,Alabama,South,East South Central,93
Vermont,Northeast,New England,2010,619363,534975,59032,22529,2827,Alabama,South,East South Central,0
Virginia,South,South Atlantic,2010,7930773,6752310,870491,259507,48465,Alabama,South,East South Central,2671
Washington,West,Pacific,2010,6661321,5464985,946923,191784,57629,Alabama,South,East South Central,1322
